,date,year,day,temp
0,6/7/2012,2012,0.5109289617486339,29.454444444444448
1,7/7/2012,2012,0.5136612021857924,30.5025
2,8/7/2012,2012,0.5163934426229508,30.420833333333334
3,9/7/2012,2012,0.5191256830601093,29.318333333333328
4,10/7/2012,2012,0.5218579234972678,31.012916666666666
5,11/7/2012,2012,0.5245901639344263,30.992499999999996
6,12/7/2012,2012,0.5273224043715847,29.68583333333333
7,13/7/2012,2012,0.5300546448087432,29.72666666666667
8,14/7/2012,2012,0.5327868852459017,29.889999999999997
9,15/7/2012,2012,0.5355191256830601,30.502499999999998
10,16/7/2012,2012,0.5382513661202186,31.441666666666666
11,17/7/2012,2012,0.5409836065573771,30.502499999999998
12,18/7/2012,2012,0.5437158469945356,29.155
13,19/7/2012,2012,0.546448087431694,27.838124999999998
14,20/7/2012,2012,0.5491803278688525,29.663846153846155
15,21/7/2012,2012,0.5519125683060109,31.874499999999994
16,22/7/2012,2012,0.5546448087431693,31.155833333333334
17,23/7/2012,2012,0.5573770491803278,30.992499999999996
18,24/7/2012,2012,0.5601092896174863,31.42125
19,25/7/2012,2012,0.5628415300546448,29.119999999999997
20,26/7/2012,2012,0.5655737704918032,28.35875
21,27/7/2012,2012,0.5683060109289617,29.175416666666667
22,28/7/2012,2012,0.5710382513661202,29.563333333333333
23,29/7/2012,2012,0.5737704918032787,29.31833333333333
24,30/7/2012,2012,0.5765027322404371,28.54782608695652
25,31/7/2012,2012,0.5792349726775956,30.257499999999997
26,1/8/2012,2012,0.5819672131147541,29.155
27,2/8/2012,2012,0.5846994535519126,30.208499999999994
28,3/8/2012,2012,0.587431693989071,30.68625
29,4/8/2012,2012,0.5901639344262295,31.115
30,5/8/2012,2012,0.592896174863388,31.094583333333333
31,6/8/2012,2012,0.5956284153005464,30.05333333333333
32,7/8/2012,2012,0.5983606557377049,30.175833333333333
33,8/8/2012,2012,0.6010928961748634,29.277500000000003
34,9/8/2012,2012,0.6038251366120219,28.93041666666667
35,10/8/2012,2012,0.6065573770491803,29.563333333333333
36,11/8/2012,2012,0.6092896174863388,30.706666666666667
37,12/8/2012,2012,0.6120218579234973,28.950833333333332
38,13/8/2012,2012,0.6147540983606558,28.33833333333334
39,14/8/2012,2012,0.6174863387978142,28.562916666666666
40,15/8/2012,2012,0.6202185792349727,27.44
41,16/8/2012,2012,0.6229508196721312,27.76666666666667
42,17/8/2012,2012,0.6256830601092896,30.52291666666667
43,18/8/2012,2012,0.6284153005464481,29.44083333333333
44,19/8/2012,2012,0.6311475409836066,29.645
45,20/8/2012,2012,0.6338797814207651,29.808333333333337
46,21/8/2012,2012,0.6366120218579235,30.87
47,22/8/2012,2012,0.639344262295082,30.924444444444443
48,23/8/2012,2012,0.6420765027322405,30.380000000000006
49,24/8/2012,2012,0.644808743169399,31.339583333333334
50,25/8/2012,2012,0.6475409836065574,30.992499999999996
51,26/8/2012,2012,0.6502732240437158,29.604166666666668
52,27/8/2012,2012,0.6530054644808743,29.604166666666668
53,28/8/2012,2012,0.6557377049180327,28.616000000000003
54,29/8/2012,2012,0.6584699453551912,30.257500000000004
55,30/8/2012,2012,0.6612021857923497,30.0125
56,31/8/2012,2012,0.6639344262295082,28.964444444444446
57,1/9/2012,2012,0.6666666666666666,29.849166666666665
58,2/9/2012,2012,0.6693989071038251,29.804782608695646
59,3/9/2012,2012,0.6721311475409836,29.542916666666667
60,4/9/2012,2012,0.674863387978142,28.583333333333332
61,5/9/2012,2012,0.6775956284153005,29.787916666666664
62,6/9/2012,2012,0.680327868852459,27.113333333333333
63,7/9/2012,2012,0.6830601092896175,28.86916666666666
64,8/9/2012,2012,0.6857923497267759,30.155416666666667
65,9/9/2012,2012,0.6885245901639344,31.339583333333337
66,10/9/2012,2012,0.6912568306010929,30.706666666666667
67,11/9/2012,2012,0.6939890710382514,30.68625
68,12/9/2012,2012,0.6967213114754098,30.788333333333338
69,13/9/2012,2012,0.6994535519125683,30.114583333333332
70,14/9/2012,2012,0.7021857923497268,28.644583333333333
71,15/9/2012,2012,0.7049180327868853,28.562916666666666
72,16/9/2012,2012,0.7076502732240437,27.297083333333333
73,17/9/2012,2012,0.7103825136612022,28.70583333333333
74,18/9/2012,2012,0.7131147540983607,28.460833333333337
75,19/9/2012,2012,0.7158469945355191,28.971249999999998
76,20/9/2012,2012,0.7185792349726776,28.68541666666667
77,21/9/2012,2012,0.7213114754098361,28.910000000000007
78,22/9/2012,2012,0.7240437158469946,29.645
79,23/9/2012,2012,0.726775956284153,30.175833333333333
80,24/9/2012,2012,0.7295081967213115,26.95
81,25/9/2012,2012,0.73224043715847,29.58375
82,26/9/2012,2012,0.7349726775956285,31.155833333333334
83,27/9/2012,2012,0.7377049180327869,26.03125
84,28/9/2012,2012,0.7404371584699454,27.480833333333333
85,29/9/2012,2012,0.7431693989071039,30.175833333333333
86,30/9/2012,2012,0.7459016393442623,30.5025
87,1/10/2012,2012,0.7486338797814208,29.461250000000003
88,2/10/2012,2012,0.7513661202185792,29.58375
89,3/10/2012,2012,0.7540983606557377,30.956470588235295
90,4/10/2012,2012,0.7568306010928961,30.522916666666664
91,5/10/2012,2012,0.7595628415300546,30.68625
92,6/10/2012,2012,0.7622950819672131,29.72666666666667
93,7/10/2012,2012,0.7650273224043715,30.155416666666664
94,8/10/2012,2012,0.76775956284153,27.521666666666665
95,9/10/2012,2012,0.7704918032786885,26.786666666666665
96,10/10/2012,2012,0.773224043715847,29.155
97,11/10/2012,2012,0.7759562841530054,29.359166666666667
