code,name,lat,long,tambon,amphoe,province,basin,sub_basin
LEEE,ทต.วังดิน,17.801989,98.94716,ลี้,ลี้,ลำพูน,ปิง,น้ำแม่ลี้
LGTI,อบต.บ้านแหง,18.763306,100.00876,บ้านแหง,งาว,ลำปาง,ยม,แม่น้ำงาว
LHOK,อบต.เหล่ากอหก,17.496422,100.88751,เหล่ากอหก,นาแห้ว,เลย,โขงตะวันออกเฉียงเหนือ,แม่น้ำโขงส่วนที่ 3
LKBU,อบต.ลานกระบือ,16.618078,99.880066,ลานกระบือ,ลานกระบือ,กำแพงเพชร,ยม,แม่น้ำยมตอนล่างส่วนที่ 5
LMKD,อบต.คลองขนาน,8.005305,99.01388,คลองขนาน,เหนือคลอง,กระบี่,ภาคใต้ฝั่งตะวันตก,ภาคใต้ฝั่งตะวันตกส่วนที่ 2
LMKO,อบต.หล่มเก่า,16.880705,101.23832,หล่มเก่า,หล่มเก่า,เพชรบูรณ์,ป่าสัก,ห้วยน้ำพุง
LMPN,สวนสาธารณะกู่ช้าง ทต.ลำพูน,18.588718,99.02019,ในเมือง,เมืองลำพูน,ลำพูน,ปิง,น้ำแม่กวง
LMSK,ทต.ตาลเดี่ยว,16.771374,101.25363,ตาลเดี่ยว,หล่มสัก,เพชรบูรณ์,ป่าสัก,แม่น้ำป่าสักตอนบน
LNRG,อบต.ลำนางรอง,14.188861,102.68472,ลำนางรอง,โนนดินแดง,บุรีรัมย์,มูล,ลำนางรอง
LNSK,อบต.ลานสัก,15.472768,99.53971,ลานสัก,ลานสัก,อุทัยธานี,สะแกกรัง,ห้วยทับเสลา
LPLE,ทต.ศรีพนมมาศ,17.654537,100.035805,ศรีพนมมาศ,ลับแล,อุตรดิตถ์,น่าน,แม่น้ำน่านส่วนที่ 4/2
LTYO,ศูนย์อปพร.อบต.ลาดยาว,15.762861,99.74133,ลาดยาว,ลาดยาว,นครสวรรค์,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
MCHI,ทต.แม่ใจ,19.346102,99.81359,แม่ใจ,แม่ใจ,พะเยา,โขงเหนือ,แม่น้ำอิงตอนบน
MCRM,รพสต.หมอเมือง,18.678186,100.99277,หมอเมือง,แม่จริม,น่าน,น่าน,น้ำว้า
MDC001,ตลาดเก่าตะกั่วป่า,8.829423,98.36931,โคกเคียน,ตะกั่วป่า,พังงา,ภาคใต้ฝั่งตะวันตก,คลองตะกั่วป่า
MDC005,คลองนาท่อม,7.5588346,99.98757,ร่มเมือง,เมืองพัทลุง,พัทลุง,ทะเลสาบสงขลา,ทะเลหลวง
MDTG,อบต.เขาล้าน,11.522076,99.59763,เขาล้าน,ทับสะแก,ประจวบคีรีขันธ์,เพชรบุรี-ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์ส่วนที่ 1
MECN,ทต.แม่จัน,20.139263,99.85799,แม่จัน,แม่จัน,เชียงราย,โขงเหนือ,น้ำแม่จัน
MEPK,อบต.แม่พริก,17.455318,99.118645,แม่พริก,แม่พริก,ลำปาง,วัง,แม่น้ำวังตอนล่างส่วนที่ 3
MEWG,อบต.บ้านกาด,18.603914,98.79844,บ้านกาด,แม่วาง,เชียงใหม่,ปิง,น้ำแม่ขาน
MGTI,อบต.นอกเมือง,14.850811,103.49769,นอกเมือง,เมืองสุรินทร์,สุรินทร์,มูล,ลำชี
MKKB,รพสต.บ้านโคกอุดม,14.069501,101.80993,หนองกี่,กบินทร์บุรี,ปราจีนบุรี,บางปะกง,แม่น้ำหนุมาน
MKTR,ทต.กันทรารมย์,15.105263,104.56863,ดูน,กันทรารมย์,ศรีสะเกษ,มูล,ลำน้ำมูลส่วนที่ 3/2
MMMO,ทต.แม่เมาะ,18.272924,99.65161,แม่เมาะ,แม่เมาะ,ลำปาง,วัง,น้ำแม่จาง
MMNY,อบต.นายายอาม,12.770844,101.85303,นายายอาม,นายายอาม,จันทบุรี,ชายฝั่งทะเลตะวันออก,ชายฝั่งทะเลตะวันออก (ลุ่มน้ำสาขา 3)
MNDM,เขื่อนแม่งัดสมบูรณ์ชล,19.161768,99.03969,ช่อแล,แม่แตง,เชียงใหม่,ปิง,น้ำแม่งัด
MNRM,ทต.คุ้งสำเภา,15.310008,100.081726,คุ้งสำเภา,มโนรมย์,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
MPBR,ทต.ปราณบุรี,12.37838,99.89328,หนองตาแต้ม,ปราณบุรี,ประจวบคีรีขันธ์,เพชรบุรี-ประจวบคีรีขันธ์,แม่น้ำปราณบุรี ( ลุ่มน้ำสาขา )
MRMT,อบต.แม่ระมาด,16.989868,98.51828,แม่ระมาด,แม่ระมาด,ตาก,สาละวิน,แม่น้ำเมยตอนล่าง
MSRM,อบต.แม่คง,18.160877,97.91761,แม่คง,แม่สะเรียง,แม่ฮ่องสอน,สาละวิน,แม่น้ำยวมตอนล่างส่วนที่ 1
MUN002,เฉลิมพระเกียรติ,14.968005,102.23786,หนองยาง,เฉลิมพระเกียรติ,นครราชสีมา,มูล,ลำน้ำมูลตอนบนส่วนที่ 3
MUN003,ชุมพวง,15.286591,102.68462,ท่าลาด,ชุมพวง,นครราชสีมา,มูล,ลำปลายมาศ
MUN005,ราษีไศล,15.339495,104.15238,เมืองคง,ราษีไศล,ศรีสะเกษ,มูล,ลำน้ำมูลส่วนที่ 3/1
MUN009,เมืองสุรินทร์,14.875471,103.37901,ตระแสง,เมืองสุรินทร์,สุรินทร์,มูล,ลำชี
MUN010,เมืองศรีสะเกษ,15.118125,104.318596,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,มูล,ห้วยสำราญ
